"RN no 478/2022, vigente a partir de 20/01/2022","RN no 606/2024, vigente a partir de 21/06/2024",PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,Unnamed: 0,RN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,"ARTROSCOPIA CIRÚRGICA PARA MENISCECTOMIA, SUTURA MENISCAL, REMODELAÇÃO DE MENISCO",ARTROSCOPIA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,ARTROSCOPIA PARA SINOVECTOMIAS E RESSECÇÃO DE MENISCOS,ARTROSCOPIA PARA TRATAMENTO DE LUXAÇÃO RECIDIVANTE,TRAÇÃO CUTÂNEA E OU TRANSESQUELETICA - QUALQUER LOCALIZAÇÃO,TRAÇÃO,RETIRADA DE MATERIAL DE SÍNTESE (QUALQUER MATERIAL),RETIRADA DE MATERIAL DE SÍNTESE,IMOBILIZAÇÕES NÃO-GESSADAS (QUALQUER LOCALIZAÇÃO),IMOBILIZAÇÕES,ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,URETROSTOMIA,URETRA,SISTEMA URINÁRIO,HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE,PRÓSTATA E VESÍCULAS SEMINAIS,PROSTATAVESICULECTOMIA,PROSTATECTOMIA,BIÓPSIA ESCROTAL,ESCROTO,ENDOSCOPIA DIAGNÓSTICA OU,PROCEDIMENTOS DIAGNÓSTICOS E,"ESCLEROSE DE VARIZES DE ESÔFAGO, ESTÔMAGO OU DUODENO",ENDOSCÓPICOS,PAPILOTOMIA E DILATAÇÃO BILIAR OU PANCREÁTICA COM OU SEM COLOCAÇÃO DE PROTESE OU DRENO,ANTI-Sm,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,AVIDEZ DE IGG PARA TOXOPLASMOSE (COM DIRETRIZ DE UTILIZAÇÃO),6,"BIOTINIDASE ATIVIDADE DA, QUALITATIVO",BORRELIOSE DE LYME - IGM,C1Q,CA 15-3,CA 72-4,IGE TOTAL,IGE POR GRUPO ESPECÍFICO,"IGG SUBCLASSES (1, 2, 3, 4)","IMUNOELETROFORESE, PROTEÍNAS SÉRICAS",INIBIDOR DE C1 ESTERASE,LEISHMANIOSE - IGG / IGM,"LEPTOSPIROSE, AGLUTINAÇÃO",ZAP-70,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),","FENILCETONÚRIA, PESQUISA",URINÁLISE,"LIPÓIDES BIRREFRINGENTES, PESQUISA","METANEFRINAS URINÁRIAS, DOSAGEM","MIOGLOBINA, DOSAGEM OU PESQUISA",PESQUISA DE SULFATÍDEOS E MATERIAL METACROMÁTICO NA URINA,"PORFOBILINOGÊNIO, QUANTITATIVO",PROVA DE CONCENTRAÇÃO URINÁRIA COM RESTRIÇÃO HÍDRICA E ACETATO DE DESMOPRESSINA (DDAVP),EXAMES DE QUALIFICAÇÃO NO SANGUE DO,DOAÇÃO AUTÓLOGA PERI-OPERATÓRIA POR HEMODILUIÇÃO NORMOVOLÊMICA,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,DOAÇÃO DE COMPONENTES POR AFÉRESE,FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,"HEPATITE B - ANTI-HBC, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA","HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA","(D), INCLUINDO PROVA PARA D-FRACO E PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS",DETECÇÃO DE ANORMALIDADES DOS CROMOSSOMOS X OU Y (SANGUE PERIFÉRICO OU ESFREGAÇO DE,"ESTUDO CITOGENÉTICO PARA DOENÇAS NEOPLÁSICAS MALIGNAS, DIVERSOS MATERIAIS",CITOGENÉTICA,GENÉTICA,REARRANJO 8q24 FISH (SANGUE),AVALIAÇÃO DE RISCO DE ANOMALIAS CROMOSSÔMICAS E/OU DEFEITOS DE FECHAMENTO DE TUBO NEURAL,GENÉTICA BIOQUÍMICA,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA 1,4-ALFA-GLICOSIDASE EM FIBROBLASTOS",DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-L-FUCOSIDASE EM LEUCÓCITOS OU FIBROBLASTOS,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GLICURONIDASE EM FIBROBLASTOS,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA GALACTOCEREBROSIDASE EM LEUCÓCITOS E FIBROBLASTOS,"GLICOSAMINOGLICANOS URINÁRIOS, DOSAGEM QUANTITATIVA OU ANÁLISE QUALITATIVA","TESTES DE ERROS INATOS DO METABOLISMO, QUALITATIVOS, NA URINA",CORIÔNICA HUMANA LIVRE (β-HCG) E INIBINA COM ELABORAÇÃO DE LAUDO CONTENDO CÁLCULO DE RISCO,"CROMOSSOMO PHILADELFIA, PESQUISA",GENÉTICA MOLECULAR,"FATOR V LEIDEN, ANÁLISE DE MUTAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO)",25,110,K-RAS (COM DIRETRIZ DE UTILIZAÇÃO),50,"PROTROMBINA, PESQUISA DE MUTAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO)",61,REARRANJO GÊNICO CÉLULAS T POR PCR,"TESTE DE DEFICIÊNCIA DE RECOMBINAÇÃO HOMÓLOGA, HRD (COM DIRETRIZ DE UTILIZAÇÃO)",577/2023,09/05/2023,160,ANÁLISE DE DNA (CONTEÚDO E PLOIDIA) POR CITOMETRIA DE FLUXO,PROCEDIMENTOS,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,SIALOGRAFIA,RADIOGRAFIAS,MÉTODOS DIAGNÓSTICOS POR IMAGEM,TOMOGRAFIA RENAL,URETROCISTOGRAFIA,UROGRAFIA VENOSA COM NEFROTOMOGRAFIA,ABLAÇÃO PERCUTÂNEA POR RADIOFREQUÊNCIA PARA TRATAMENTO DE OSTEOMA OSTEÓIDE,DIAGNÓSTICOS E TERAPÊUTICOS POR,ANGIOPLASTIA TRANSLUMINAL PERCUTÂNEA,CATETERISMO ARTERIAL PARA QUIMIOTERAPIA,MÉTODOS INTERVENCIONISTAS,"COLOCAÇÃO DE STENT ESOFAGIANO, INTESTINAL OU RETAL",COLOCAÇÃO DE STENT VASCULAR (ARTERIAL OU VENOSO),COLOCAÇÃO PERCUTÂNEA DE STENT VASCULAR,DILATAÇÃO PERCUTÂNEA DE ESTENOSE BILIAR CICATRICIAL,DILATAÇÃO PERCUTÂNEA DE ESTENOSE DE DUCTO PANCREÁTICO,DRENAGEM PERCUTÂNEA DE CISTO OU ABCESSO RENAL,DRENAGEM PERCUTÂNEA DE COLEÇÃO PLEURAL,EMBOLIZAÇÃO BRÔNQUICA PARA TRATAMENTO DE HEMOPTISE,EMBOLIZAÇÃO DE ANEURISMA OU PSEUDOANEURISMA VISCERAL,EMBOLIZAÇÃO DE ARTÉRIA UTERINA (COM DIRETRIZ DE UTILIZAÇÃO),23,EMBOLIZAÇÃO DE HEMORRAGIA DIGESTIVA,EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR,EMBOLIZAÇÃO DE RAMO PORTAL,EMBOLIZAÇÃO DE TUMOR - QUALQUER LOCALIZAÇÃO (EXCETO PARA ARTÉRIA UTERINA),EMBOLIZAÇÃO SELETIVA DE FÍSTULA OU ANEURISMA RENAL PARA TRATAMENTO DE HEMATÚRIA,ESCLEROSE PERCUTÂNEA DE MALFORMAÇÕES VENOSAS,"EXÉRESE PERCUTÂNEA DE TUMOR ORIENTADA POR RX, US, TC OU RM",LITOTRIPSIA MECÂNICA DE CÁLCULOS RENAIS ORIENTADA POR RX OU US,"NEFROSTOMIA PERCUTÂNEA ORIENTADA POR RX, US, TC OU RM",PARACENTESE ORIENTADA POR RX OU US,PUNÇÃO ASPIRATIVA OU BIÓPSIA ORIENTADA POR IMAGEM,ANESTESIA (INSERÇÃO DA PLACA PARA BRAQUITERAPIA OFTÁLMICA),PROCEDIMENTOS SECUNDÁRIOS,RADIOTERAPIA,ANESTESIA PARA RADIOTERAPIA EXTERNA,FILMES DE VERIFICAÇÃO,"IMOBILIZADOR DE TÓRAX, ABDOME E PÉLVIS",INSERÇÃO DA PLACA PARA BRAQUITERAPIA OFTÁLMICA,PLANEJAMENTO COMPLEXO (COM COMPUTADOR),PLANEJAMENTO TRIDIMENSIONAL
"RN no 480/2022, vigente a partir de 14/02/2022","RN no 607/2024, vigente a partir de 01/07/2024",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 536/2022, vigente a partir de 06/05/2022","RN no 610/2024, vigente a partir de 01/08/2024",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 538/2022, vigente a partir de 22/10/2022","RN no 619/2024, vigente a partir de 02/01/2025",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 541/2022, vigente a partir de 01/08/2022","RN no 624/2024, vigente a partir de 03/02/2025",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 542/2022, vigente a partir de 01/09/2022","RN no 625/2024, vigente a partir de 23/12/2024",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 544/2022, vigente a partir de 21/09/2022","RN no 627/2024, vigente a partir de 17/02/2025",,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 546/2022, vigente a partir de 03/10/2022",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 571/2023, vigente a partir de 10/02/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 577/2023, vigente a partir de 09/05/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 581/2023, vigente a partir de 12/07/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 582/2023, vigente a partir de 01/08/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 584/2023, vigente a partir de 01/09/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 592/2023, vigente a partir de 18/12/2023",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 599/2024, vigente a partir de 05/03/2024",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 600/2024, vigente a partir de 01/04/2024",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RN no 603/2024, vigente a partir de 02/05/2024",,,,,Não se aplica,Não se aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACONSELHAMENTO GENÉTICO,,,Não se aplica,AMB,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,,Não se aplica,Não se aplica,HCO,HSO,REF,,109.0,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,,Não se aplica,Não se aplica,HCO,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
